"Girokonto";"DE72 1203 0000 0011 4478 55"
""
"Zeitraum:";"01.07.2025 - 30.06.2026"
"Kontostand vom 30.06.2026:";"3.412,87 €"
""
"Buchungsdatum";"Wertstellung";"Status";"Zahlungspflichtige*r";"Zahlungsempfänger*in";"Verwendungszweck";"Umsatztyp";"IBAN";"Betrag (€)";"Gläubiger-ID";"Mandatsreferenz";"Kundenreferenz";"Kategorie";"Unterkategorie"
"02.04.26";"02.04.26";"Gebucht";"Lukas Mustermann";"MVV Energie";"Abschlag 04/2026 Kundennr 227192173";"Ausgang";"DE66566739060727723657";"-178,21";"DE22ME61476657164";"ME-227192173";"";"8. fixed costs";"gas/heating"
"24.06.26";"24.06.26";"Gebucht";"Lukas Mustermann";"Rheinenergie Gas";"Abschlag 06/2026 Kundennr 292578363";"Ausgang";"DE68123053252600118123";"-178,89";"DE22RG07388801221";"RG-292578363";"";"8. fixed costs";"gas/heating"
"30.09.25";"30.09.25";"Gebucht";"Lukas Mustermann";"Barmenia";"Versicherungsbeitrag Police 364238 09/2025";"Ausgang";"DE22355220941245621202";"-46,84";"DE22B54094113965";"B-364238";"";"8. fixed costs";"insurance"
"25.08.25";"25.08.25";"Gebucht";"Lukas Mustermann";"MVG München";"Lastschrift 08/2025 Ref 3687509";"Ausgang";"DE26322399821374556114";"-49,45";"DE22MM04288605053";"MM-3687509";"";"3. mobility";"öpnv"
"21.01.26";"21.01.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"3459576403816 PP.4855.PP . ONLY, Ihr Einkauf bei ONLY";"Ausgang";"DE88500700100175526303";"-112,08";"LU96ZZZ0000000000000000058";"5PYM649690282KV";"";"2. lifestyle&fun";"shopping (clothes)"
"28.08.25";"28.08.25";"Gebucht";"Lukas Mustermann";"FitX";"FITX Abo Kd-Nr. 903230888 08/2025";"Ausgang";"DE06094175024130078867";"-47,22";"DE22F58755850959";"F-903230888";"";"7. abos";"gym"
"10.08.25";"10.08.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"2415536915855 PP.4855.PP . BOOK DEPOSITORY, Ihr Einkauf bei BOOK DEPOSITORY";"Ausgang";"DE88500700100175526303";"-35,63";"LU96ZZZ0000000000000000058";"5PYM749062796KV";"";"5. education";"books"
"14.11.25";"14.11.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"7905696591713 PP.4855.PP . KOMMUNALES KINO, Ihr Einkauf bei KOMMUNALES KINO";"Ausgang";"DE88500700100175526303";"-8,55";"LU96ZZZ0000000000000000058";"5PYM578529456KV";"";"2. lifestyle&fun";"cinema"
"17.03.26";"17.03.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"2815278730486 PP.4855.PP . MYTOYS, Ihr Einkauf bei MYTOYS";"Ausgang";"DE88500700100175526303";"-174,90";"LU96ZZZ0000000000000000058";"5PYM251521746KV";"";"4. family";"family"
"11.02.26";"11.02.26";"Gebucht";"Lukas Mustermann";"heise plus";"HEISE Abo Kd-Nr. 053558 02/2026";"Ausgang";"DE82348118082938502847";"-38,97";"DE22HP79825875371";"HP-053558";"";"7. abos";"(e)-papers"
"28.06.26";"28.06.26";"Gebucht";"Lukas Mustermann";"Fischstand.Nordsee/Essen";"FISCHSTAND 2026-06-28T12:23:23 KFN 0 VJ 2812";"Ausgang";"";"-21,95";"";"";"";"1. groceries";"farmers market"
"08.12.25";"08.12.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"0489267389975 PP.4855.PP . CINEMAXX, Ihr Einkauf bei CINEMAXX";"Ausgang";"DE88500700100175526303";"-32,55";"LU96ZZZ0000000000000000058";"5PYM634108562KV";"";"2. lifestyle&fun";"cinema"
"05.01.26";"05.01.26";"Gebucht";"Lukas Mustermann";"Stadtwerke Kiel";"Abschlag 01/2026 Kundennr 036685";"Ausgang";"DE74397384718458163021";"-38,78";"DE22SK29182363725";"SK-036685";"";"8. fixed costs";"electricity"
"01.04.26";"01.04.26";"Gebucht";"Lukas Mustermann";"ARD ZDF Deutschlandradio Beitragsservice";"Rundfunkbeitrag 04/2026 Beitragsnr 186830434";"Ausgang";"DE22997853210133989309";"-20,09";"DE22AZD04003765849";"AZD-186830434";"";"8. fixed costs";"rundfunk"
"15.04.26";"15.04.26";"Gebucht";"Lukas Mustermann";"ARD ZDF Deutschlandradio Beitragsservice";"Rundfunkbeitrag 04/2026 Beitragsnr 867154295";"Ausgang";"DE99571947700719103533";"-52,56";"DE22AZD63592172340";"AZD-867154295";"";"8. fixed costs";"rundfunk"
"06.06.26";"06.06.26";"Gebucht";"Lukas Mustermann";"Center Parcs";"Lastschrift 06/2026 Ref 77017157";"Ausgang";"DE72459928161581487696";"-310,91";"DE22CP39382761539";"CP-77017157";"";"2. lifestyle&fun";"vacation"
"02.09.25";"02.09.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"8802730427636 PP.4855.PP . KINDERARZTPRAXIS, Ihr Einkauf bei KINDERARZTPRAXIS";"Ausgang";"DE88500700100175526303";"-19,69";"LU96ZZZ0000000000000000058";"5PYM281444718KV";"";"4. family";"family"
"02.05.26";"02.05.26";"Gebucht";"Lukas Mustermann";"Tibber";"Abschlag 05/2026 Kundennr 28932816";"Ausgang";"DE65177313197493135276";"-119,57";"DE22T25593765118";"T-28932816";"";"8. fixed costs";"electricity"
"15.11.25";"15.11.25";"Gebucht";"Lukas Mustermann";"1und1";"Rechnung 11/2025 Kd-Nr. 50307958";"Ausgang";"DE25467723967783907516";"-53,77";"DE22138066267940";"1-50307958";"";"8. fixed costs";"telephone"
"12.08.25";"12.08.25";"Gebucht";"Lukas Mustermann";"Todoist";"TODOIST Abo Kd-Nr. 3213495 08/2025";"Ausgang";"DE22094003717758856274";"-22,68";"DE22T80661126203";"T-3213495";"";"7. abos";"cloud/software"
"28.05.26";"28.05.26";"Gebucht";"Lukas Mustermann";"Cursor";"CURSOR Abo Kd-Nr. 7868070 05/2026";"Ausgang";"DE42357318995931169921";"-16,71";"DE22C35347050707";"C-7868070";"";"7. abos";"AI"
"11.06.26";"11.06.26";"Gebucht";"Lukas Mustermann";"Vodafone";"Rechnung 06/2026 Kd-Nr. 4381445";"Ausgang";"DE65149975301446338455";"-32,03";"DE22V45012221988";"V-4381445";"";"8. fixed costs";"telephone"
"07.03.26";"07.03.26";"Gebucht";"Lukas Mustermann";"McFIT";"MCFIT Abo Kd-Nr. 01467093 03/2026";"Ausgang";"DE67250280041770734603";"-56,94";"DE22M16134079921";"M-01467093";"";"7. abos";"gym"
"16.08.25";"16.08.25";"Gebucht";"Lukas Mustermann";"TUI Deutschland";"Lastschrift 08/2025 Ref 27990772";"Ausgang";"DE62570165804649893195";"-57,82";"DE22TD08501657905";"TD-27990772";"";"2. lifestyle&fun";"vacation"
"03.07.25";"03.07.25";"Gebucht";"Lukas Mustermann";"Vodafone";"Rechnung 07/2025 Kd-Nr. 8870713";"Ausgang";"DE60421210046879752100";"-15,11";"DE22V84865425568";"V-8870713";"";"8. fixed costs";"telephone"
"10.08.25";"10.08.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"0898992172233 PP.4855.PP . SPORT BITTL, Ihr Einkauf bei SPORT BITTL";"Ausgang";"DE88500700100175526303";"-70,43";"LU96ZZZ0000000000000000058";"5PYM206163294KV";"";"2. lifestyle&fun";"sports"
"17.08.25";"17.08.25";"Gebucht";"Lukas Mustermann";"Microsoft 365";"MICROSOFT Abo Kd-Nr. 328959103 08/2025";"Ausgang";"DE85242762215596374396";"-105,15";"DE22M339949594038";"M3-328959103";"";"7. abos";"cloud/software"
"11.07.25";"11.07.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"0596851953774 PP.4855.PP . TAXI 1122, Ihr Einkauf bei TAXI 1122";"Ausgang";"DE88500700100175526303";"-53,66";"LU96ZZZ0000000000000000058";"5PYM926632956KV";"";"3. mobility";"taxi"
"07.12.25";"07.12.25";"Gebucht";"Lukas Mustermann";"Shop.Apotheke.267/Mainz";"SHOP SAGT DANKE. 2025-12-07T14:43:51 KFN 0 VJ 2812";"Ausgang";"";"-33,52";"";"";"";"6. healthcare";"pharmacy"
"02.07.25";"02.07.25";"Gebucht";"Lukas Mustermann";"Radschlag/Köln";"RADSCHLAG 41184913//Köln/DE 2025-07-02T13:27:02 KFN 0 VJ 2812";"Ausgang";"";"-397,08";"";"";"";"3. mobility";"bicycle"
"04.09.25";"04.09.25";"Gebucht";"Lukas Mustermann";"Mayersche.539/Köln";"MAYERSCHE SAGT DANKE. 2025-09-04T11:11:42 KFN 0 VJ 2812";"Ausgang";"";"-15,55";"";"";"";"5. education";"books"
"08.03.26";"08.03.26";"Gebucht";"Lukas Mustermann";"Metropolis.Kino/Nürnberg";"METROPOLIS 59266108//Nürnberg/DE 2026-03-08T20:05:48 KFN 0 VJ 2812";"Ausgang";"";"-20,03";"";"";"";"2. lifestyle&fun";"cinema"
"02.07.25";"02.07.25";"Gebucht";"Lukas Mustermann";"Getsafe";"Versicherungsbeitrag Police 9520781 07/2025";"Ausgang";"DE87414656637070437375";"-34,98";"DE22G14353554622";"G-9520781";"";"8. fixed costs";"insurance"
"08.01.26";"08.01.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"6766182512868 PP.4855.PP . KAMPS, Ihr Einkauf bei KAMPS";"Ausgang";"DE88500700100175526303";"-94,39";"LU96ZZZ0000000000000000058";"5PYM230047868KV";"";"2. lifestyle&fun";"going out (food&drinks)"
"08.04.26";"08.04.26";"Gebucht";"Lukas Mustermann";"Hofladen.Petersen/Kassel";"HOFLADEN 58523986//Kassel/DE 2026-04-08T10:08:06 KFN 0 VJ 2812";"Ausgang";"";"-15,47";"";"";"";"1. groceries";"farmers market"
"21.03.26";"21.03.26";"Gebucht";"Lukas Mustermann";"Vodafone Kabel";"Rechnung 03/2026 Kd-Nr. 11881167";"Ausgang";"DE87348085149667571695";"-55,33";"DE22VK40231342683";"VK-11881167";"";"8. fixed costs";"internet"
"13.01.26";"13.01.26";"Gebucht";"Lukas Mustermann";"Fördermitgliedschaft Tierheim";"FÖRDERMITGLIEDSCHAFT Abo Kd-Nr. 833939943 01/2026";"Ausgang";"DE10951888578782809572";"-88,65";"DE22FT83978301898";"FT-833939943";"";"7. abos";"memberships"
"03.05.26";"03.05.26";"Gebucht";"Lukas Mustermann";"FlixBus";"Lastschrift 05/2026 Ref 4785196";"Ausgang";"DE10646287923264870494";"-114,29";"DE22F78730024471";"F-4785196";"";"2. lifestyle&fun";"vacation"
"17.01.26";"17.01.26";"Gebucht";"Lukas Mustermann";"VGN.Nürnberg.149/Wuppertal";"VGN 2026-01-17T09:51:07 KFN 0 VJ 2812";"Ausgang";"";"-34,38";"";"";"";"3. mobility";"öpnv"
"21.06.26";"21.06.26";"Gebucht";"Lukas Mustermann";"1und1";"Rechnung 06/2026 Kd-Nr. 4455329";"Ausgang";"DE67737594283188861666";"-13,94";"DE22133428091154";"1-4455329";"";"8. fixed costs";"telephone"
"15.10.25";"15.10.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"8970145570393 PP.4855.PP . NETFLIX, Ihr Einkauf bei NETFLIX";"Ausgang";"DE88500700100175526303";"-18,93";"LU96ZZZ0000000000000000058";"5PYM427186692KV";"";"7. abos";"streaming"
"29.06.26";"29.06.26";"Gebucht";"Lukas Mustermann";"Barmenia";"Versicherungsbeitrag Police 77927969 06/2026";"Ausgang";"DE39205515704533043494";"-74,04";"DE22B81598826874";"B-77927969";"";"8. fixed costs";"insurance"
"24.12.25";"24.12.25";"Gebucht";"Lukas Mustermann";"Tibber";"Abschlag 12/2025 Kundennr 371534";"Ausgang";"DE27893287322766548427";"-82,73";"DE22T49464540300";"T-371534";"";"8. fixed costs";"electricity"
"16.05.26";"16.05.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"1102918133170 PP.4855.PP . MANUFACTUM, Ihr Einkauf bei MANUFACTUM";"Ausgang";"DE88500700100175526303";"-113,17";"LU96ZZZ0000000000000000058";"5PYM876014672KV";"";"2. lifestyle&fun";"presents"
"22.05.26";"22.05.26";"Gebucht";"Lukas Mustermann";"Blendle";"BLENDLE Abo Kd-Nr. 149091009 05/2026";"Ausgang";"DE16659545430017846274";"-37,77";"DE22B20522589873";"B-149091009";"";"7. abos";"(e)-papers"
"20.05.26";"20.05.26";"Gebucht";"Lukas Mustermann";"Lidl Connect";"Rechnung 05/2026 Kd-Nr. 763065858";"Ausgang";"DE27654699158973037858";"-23,47";"DE22LC14429836876";"LC-763065858";"";"8. fixed costs";"telephone"
"22.11.25";"22.11.25";"Gebucht";"Lukas Mustermann";"All-Inkl";"ALL-INKL Abo Kd-Nr. 39392242 11/2025";"Ausgang";"DE57772774575021885211";"-11,98";"DE22A48460363839";"A-39392242";"";"7. abos";"self-hosting"
"11.05.26";"11.05.26";"Gebucht";"Lukas Mustermann";"Verbraucherzentrale";"VERBRAUCHERZENTRALE Abo Kd-Nr. 460378 05/2026";"Ausgang";"DE28035689910858777075";"-30,80";"DE22V01399392567";"V-460378";"";"7. abos";"memberships"
"27.10.25";"27.10.25";"Gebucht";"Lukas Mustermann";"Taxiruf.2990/Dresden";"Kartenzahlung 2025-10-27T19:30:17 KFN 0 VJ 2812";"Ausgang";"";"-22,74";"";"";"";"3. mobility";"taxi"
"23.02.26";"23.02.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"0512046187234 PP.4855.PP . HRS HOTEL, Ihr Einkauf bei HRS HOTEL";"Ausgang";"DE88500700100175526303";"-606,03";"LU96ZZZ0000000000000000058";"5PYM601367303KV";"";"2. lifestyle&fun";"vacation"
"30.03.26";"30.03.26";"Gebucht";"Lukas Mustermann";"ARD ZDF Deutschlandradio Beitragsservice";"Rundfunkbeitrag 03/2026 Beitragsnr 705104730";"Ausgang";"DE80282131148241430444";"-26,79";"DE22AZD69789425963";"AZD-705104730";"";"8. fixed costs";"rundfunk"
"09.06.26";"09.06.26";"Gebucht";"Lukas Mustermann";"ALDI.SÜD.079/Essen";"ALDI SAGT DANKE. 2026-06-09T10:04:34 KFN 0 VJ 2812";"Ausgang";"";"-63,45";"";"";"";"1. groceries";"supermarket"
"28.05.26";"28.05.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"5052241142066 PP.4855.PP . BUCHHANDLUNG SCHMIDT, Ihr Einkauf bei BUCHHANDLUNG SCHMIDT";"Ausgang";"DE88500700100175526303";"-50,56";"LU96ZZZ0000000000000000058";"5PYM701514599KV";"";"5. education";"books"
"17.09.25";"17.09.25";"Gebucht";"Lukas Mustermann";"congstar";"Rechnung 09/2025 Kd-Nr. 796248";"Ausgang";"DE09952242756173720170";"-46,64";"DE22C11755567747";"C-796248";"";"8. fixed costs";"telephone"
"29.08.25";"29.08.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"5430796373100 PP.4855.PP . LITTLE JOHN BIKES, Ihr Einkauf bei LITTLE JOHN BIKES";"Ausgang";"DE88500700100175526303";"-429,78";"LU96ZZZ0000000000000000058";"5PYM817852211KV";"";"3. mobility";"bicycle"
"11.12.25";"11.12.25";"Gebucht";"Lukas Mustermann";"Kieser Training";"KIESER Abo Kd-Nr. 85284677 12/2025";"Ausgang";"DE03784679700830764405";"-15,18";"DE22KT83550172727";"KT-85284677";"";"7. abos";"gym"
"11.10.25";"11.10.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"6544137277685 PP.4855.PP . DATACAMP, Ihr Einkauf bei DATACAMP";"Ausgang";"DE88500700100175526303";"-159,95";"LU96ZZZ0000000000000000058";"5PYM760634942KV";"";"5. education";"online courses"
"26.02.26";"26.02.26";"Gebucht";"Lukas Mustermann";"Frankfurter Rundschau";"FRANKFURTER Abo Kd-Nr. 319151 02/2026";"Ausgang";"DE81369004790464494058";"-44,30";"DE22FR15193942789";"FR-319151";"";"7. abos";"(e)-papers"
"25.05.26";"25.05.26";"Gebucht";"Lukas Mustermann";"ARD ZDF Deutschlandradio Beitragsservice";"Rundfunkbeitrag 05/2026 Beitragsnr 284818186";"Ausgang";"DE96923444055724772139";"-54,12";"DE22AZD63620916049";"AZD-284818186";"";"8. fixed costs";"rundfunk"
"27.03.26";"27.03.26";"Gebucht";"Lukas Mustermann";"Fitnessstudio Aktiv";"FITNESSSTUDIO Abo Kd-Nr. 660026 03/2026";"Ausgang";"DE04690174953891624410";"-44,89";"DE22FA66788457321";"FA-660026";"";"7. abos";"gym"
"03.07.25";"03.07.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"9161186385588 PP.4855.PP . BIKE24, Ihr Einkauf bei BIKE24";"Ausgang";"DE88500700100175526303";"-964,72";"LU96ZZZ0000000000000000058";"5PYM195977216KV";"";"3. mobility";"bicycle"
"03.09.25";"03.09.25";"Gebucht";"Lukas Mustermann";"Taxi.Zentrale.9646/Kiel";"Kartenzahlung 2025-09-03T09:09:46 KFN 0 VJ 2812";"Ausgang";"";"-9,16";"";"";"";"3. mobility";"taxi"
"27.05.26";"27.05.26";"Gebucht";"Lukas Mustermann";"Bolt/Karlsruhe";"BOLT 2026-05-27T16:42:48 KFN 0 VJ 2812";"Ausgang";"";"-30,70";"";"";"";"3. mobility";"taxi"
"26.11.25";"26.11.25";"Gebucht";"Lukas Mustermann";"Zahnarztpraxis.Dr..Klein/Bremen";"Kartenzahlung 2025-11-26T17:02:33 KFN 0 VJ 2812";"Ausgang";"";"-39,88";"";"";"";"6. healthcare";"doctor"
"16.06.26";"16.06.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"8031499825080 PP.4855.PP . IKEA, Ihr Einkauf bei IKEA";"Ausgang";"DE88500700100175526303";"-127,31";"LU96ZZZ0000000000000000058";"5PYM046358068KV";"";"2. lifestyle&fun";"shopping (rest)"
"12.05.26";"12.05.26";"Gebucht";"Lukas Mustermann";"Sterntaler.8698/Bremen";"STERNTALER SAGT DANKE. 2026-05-12T14:02:23 KFN 0 VJ 2812";"Ausgang";"";"-283,51";"";"";"";"4. family";"family"
"14.04.26";"14.04.26";"Gebucht";"Lukas Mustermann";"CosmosDirekt";"Versicherungsbeitrag Police 265704388 04/2026";"Ausgang";"DE33923840991269176498";"-109,57";"DE22C57742735984";"C-265704388";"";"8. fixed costs";"insurance"
"08.10.25";"08.10.25";"Gebucht";"Lukas Mustermann";"Hausverwaltung Meyer";"Miete 10/2025 Whg 739206042";"Ausgang";"DE94299211924743506978";"-1.194,14";"DE22HM20993872112";"HM-739206042";"";"8. fixed costs";"rent"
"27.09.25";"27.09.25";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"0682432333023 PP.4855.PP . DAZN, Ihr Einkauf bei DAZN";"Ausgang";"DE88500700100175526303";"-8,19";"LU96ZZZ0000000000000000058";"5PYM993446060KV";"";"7. abos";"streaming"
"01.06.26";"01.06.26";"Gebucht";"Lukas Mustermann";"PayPal Europe S.a.r.l. et Cie S.C.A";"7131984449616 PP.4855.PP . DIGITALOCEAN, Ihr Einkauf bei DIGITALOCEAN";"Ausgang";"DE88500700100175526303";"-52,84";"LU96ZZZ0000000000000000058";"5PYM395257477KV";"";"7. abos";"self-hosting"
"31.03.26";"31.03.26";"Gebucht";"Lukas Mustermann";"ARD ZDF Deutschlandradio Beitragsservice";"Rundfunkbeitrag 03/2026 Beitragsnr 812666991";"Ausgang";"DE69927708665748659775";"-41,68";"DE22AZD97767380075";"AZD-812666991";"";"8. fixed costs";"rundfunk"
